Mutation Record
A*-Manhattan with Maximum Nodes Expanded
p = 0.35
P_m1		P_m2					SPL		MEN		MFS
 0 			0.0					269		6841		209
 0 			0.0					281		7052		230
 0 			0.0					247		7123		331
 0 			0.0					257		6906		325
 0 			0.0					237		7020		293
 0 			0.1					289		8736		323
 0 			0.2					273		7956		250
